V_L1,V_L2,V_L3,V_L12,V_L23,V_L31,A_L1,A_L2,A_L3,VA_L1,VA_L2,VA_L3,W_L1,W_L2,W_L3,Q_L1,Q_L2,Q_L3,PF_L1,PF_L2,PF_L3,THD_L1,THD_L2,THD_L3
130.419693,156.0518951,146.0625305,250.8973389,249.0194092,247.4157257,0.424134225,0.339343697,0.320481271,55.31545639,52.9552269,46.81030655,15.20643806,7.920938015,15.93571663,46.36256409,47.14160919,41.10549927,0.274903953,0.14957802,0.34043178,5.807891369,5.415013313,4.626121521
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1694794,156.0752411,146.2004547,250.6187439,249.3013611,247.2974854,0.442540109,0.379151225,0.294081926,57.60521698,59.17612076,42.99491119,19.05861473,5.586125851,14.82668018,46.89461136,51.41074371,37.70689392,0.330848753,0.094398312,0.344847322,5.920441628,5.412410736,4.580384254
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
130.1749573,155.9985046,146.1380463,250.4631805,249.2912903,247.2429962,0.442253083,0.380056828,0.291385978,57.57027435,59.28829575,42.58257675,19.1920681,5.269474983,14.85788345,46.81838608,51.29845428,37.31622314,0.333367676,0.08887884,0.348919302,5.813130379,5.451678276,4.598784924
